64_Sirius.py;0;114_Hashss.py;55.1;1;157_galIe.py;50.0;2;14_huizew.py;28.2;3;432_Lencerf.py;22.8;4;63_a248a.py;21.8;5;331_tmsausa.py;21.4;
212_jasonginus.py;6;171__xj.py;45.1;7;348_lionpowder.py;35.7;8;178_boxiao.py;32.1;
14_huizew.py;9;225_gag123.py;44.2;10;178_boxiao.py;30.5;
62_immike.py;11;44_wxy9018.py;44.2;12;427_FrankYao.py;41.9;
348_lionpowder.py;13;157_galIe.py;43.5;14;178_boxiao.py;39.2;15;63_a248a.py;33.3;16;171__xj.py;30.8;
157_galIe.py;17;114_Hashss.py;42.8;18;296_hhfgeg.py;23.0;19;432_Lencerf.py;21.8;
331_tmsausa.py;20;322_smartysl.py;42.7;21;432_Lencerf.py;22.0;
384_ChingTzuChen.py;22;244_ambling.py;27.2;
178_boxiao.py;23;171__xj.py;26.8;24;225_gag123.py;25.7;
427_FrankYao.py;25;44_wxy9018.py;24.1;26;441_cyap.py;19.2;
8_luxcaelestis.py;27;432_Lencerf.py;21.0;
114_Hashss.py;28;63_a248a.py;20.4;29;65_ericxbn.py;20.1;
