64_Sirius.py;0;114_Hashss.py;60.0;1;157_galIe.py;57.7;2;14_huizew.py;31.1;3;432_Lencerf.py;26.6;4;63_a248a.py;28.8;5;331_tmsausa.py;26.6;
212_jasonginus.py;6;171__xj.py;47.0;7;348_lionpowder.py;39.7;8;178_boxiao.py;33.3;
14_huizew.py;9;225_gag123.py;57.4;10;178_boxiao.py;48.1;
62_immike.py;11;44_wxy9018.py;47.3;12;427_FrankYao.py;44.0;
348_lionpowder.py;13;157_galIe.py;54.2;14;178_boxiao.py;45.4;15;63_a248a.py;36.4;16;171__xj.py;32.9;
114_Hashss.py;17;157_galIe.py;45.2;28;63_a248a.py;24.5;29;65_ericxbn.py;24.5;
331_tmsausa.py;20;322_smartysl.py;43.7;21;432_Lencerf.py;23.3;
384_ChingTzuChen.py;22;244_ambling.py;32.1;
178_boxiao.py;23;171__xj.py;29.0;24;225_gag123.py;30.2;
427_FrankYao.py;25;44_wxy9018.py;24.5;26;441_cyap.py;20.3;
157_galIe.py;18;296_hhfgeg.py;24.0;19;432_Lencerf.py;22.0;
8_luxcaelestis.py;27;432_Lencerf.py;22.2;
