452_SakretteAmi.py;0;444_marcos_qiu.py;52.9;1;417_corwinliu.py;48.5;2;310_mingxinlu.py;37.1;
436_superdiwen.py;3;139_Hexadecimal.py;52.0;4;458_canghaitian.py;48.0;
464_warahk86.py;5;163_charliemeng.py;45.4;6;430_codeway3.py;39.3;7;471_henear.py;36.3;8;153_lihuoran.py;48.4;
475_Happy-zyy.py;9;444_marcos_qiu.py;40.0;
163_charliemeng.py;10;430_codeway3.py;35.2;11;471_henear.py;35.2;12;153_lihuoran.py;44.1;
417_corwinliu.py;13;310_mingxinlu.py;35.1;
471_henear.py;14;161_hanwang.py;26.0;15;153_lihuoran.py;25.0;
430_codeway3.py;16;153_lihuoran.py;34.2;
