69_baterdene.cpp;0;385_victorj8.cpp;33.3;1;384_gkgrewa.cpp;33.3;
386_CaoHUi-LC.cpp;2;392_amethyst.cpp;29.1;3;390_sneffort.cpp;29.6;4;384_gkgrewa.cpp;22.2;
384_gkgrewa.cpp;5;381_lyk-ohlyk.cpp;25.0;6;392_amethyst.cpp;25.0;7;361_johnsondu2.cpp;21.6;
390_sneffort.cpp;8;408_YZK_yzk.cpp;22.8;9;361_johnsondu2.cpp;24.5;10;229_Yida915.cpp;24.0;
408_YZK_yzk.cpp;11;229_Yida915.cpp;24.0;12;361_johnsondu2.cpp;19.6;
361_johnsondu2.cpp;13;308_xu42.cpp;24.5;14;391_Beach.cpp;20.0;
