359_guoyihua.java;0;217_ChooJeremy.java;100.0;
200_han2999.java;1;180_xianglaniunan.java;100.0;
86_REWFALTQ.java;2;400_yuw119.java;100.0;3;374_sweetiee.java;93.1;4;52_muhandae.java;93.1;5;419_jason_wong1.java;89.6;
52_muhandae.java;6;374_sweetiee.java;100.0;7;400_yuw119.java;93.1;
466_ccfang.java;8;334_20200617.han-56.java;100.0;
398_luchy0120.java;9;286_luchy0120.java;100.0;
82_ndkhanh792000.java;10;77_anh_tai.java;100.0;11;448_abhilashv.java;88.8;
320_ycj28c.java;12;105_AchillesGreat.java;100.0;13;379_shaurya024.java;92.0;
49_Charlesna.java;14;437_acaibird.java;100.0;
251_Centurion7.java;15;18_megaspazz.java;100.0;23;141_kelvinchandra1024.java;93.3;
55_uwi.java;17;392_YanJF_1.java;100.0;
9_tian-tang-6.java;18;431_bluesky999.java;100.0;
400_yuw119.java;19;374_sweetiee.java;93.1;20;419_jason_wong1.java;89.6;
144_luo122174088.java;16;18_megaspazz.java;93.1;24;141_kelvinchandra1024.java;86.2;28;452_husilan.java;82.7;
179_CheeseCake3.java;21;125_immo2300576.java;92.5;
379_shaurya024.java;22;105_AchillesGreat.java;92.0;
237_aruba1.java;25;201_Cicindela.java;93.7;
407_garrett9.java;26;280_yaoct.java;89.6;
73_yiwiy.java;27;152_FrenkieDeJong.java;86.2;
77_anh_tai.java;29;448_abhilashv.java;88.8;
