22_zl1zl.cpp;0;40_sergeynagin.cpp;73.9;1;32_jskswyq.cpp;46.1;2;38_sdlzx.cpp;43.7;3;12___Chaos__.cpp;34.7;4;23_Netario36.cpp;29.2;
32_jskswyq.cpp;5;40_sergeynagin.cpp;48.6;6;74_tianhao2.cpp;42.4;7;23_Netario36.cpp;28.9;
74_tianhao2.cpp;8;65_alok123t.cpp;42.8;9;12___Chaos__.cpp;42.8;10;196_sachin34.cpp;31.5;
6_JohnsonTau.cpp;11;256_ergeda.cpp;40.5;
470_milu.cpp;12;3_NEU20133823.cpp;34.1;13;437_maxxxm.cpp;31.7;14;35_yren2.cpp;23.0;
7_Kmcode.cpp;15;29_lxymmd.cpp;33.3;
40_sergeynagin.cpp;16;38_sdlzx.cpp;32.8;17;23_Netario36.cpp;26.3;
65_alok123t.cpp;18;196_sachin34.cpp;30.0;
44_democoffee.cpp;19;3_NEU20133823.cpp;28.8;
