22_zl1zl.cpp;0;40_sergeynagin.cpp;84.3;1;32_jskswyq.cpp;46.8;2;38_sdlzx.cpp;43.7;3;12___Chaos__.cpp;37.5;4;23_Netario36.cpp;37.5;
32_jskswyq.cpp;5;40_sergeynagin.cpp;54.5;6;74_tianhao2.cpp;42.4;7;23_Netario36.cpp;36.3;
74_tianhao2.cpp;8;65_alok123t.cpp;45.4;9;12___Chaos__.cpp;45.4;10;196_sachin34.cpp;36.3;
6_JohnsonTau.cpp;11;256_ergeda.cpp;48.2;
470_milu.cpp;12;3_NEU20133823.cpp;42.4;13;437_maxxxm.cpp;39.3;14;35_yren2.cpp;26.5;
7_Kmcode.cpp;15;29_lxymmd.cpp;37.8;
40_sergeynagin.cpp;16;38_sdlzx.cpp;37.5;17;23_Netario36.cpp;29.2;
65_alok123t.cpp;18;196_sachin34.cpp;32.4;
44_democoffee.cpp;19;3_NEU20133823.cpp;39.3;
