53_fli.cpp;0;295_hliu94.cpp;100.0;1;27_WilsonWang.cpp;79.1;2;37_pkacprzak.cpp;89.2;3;372_knightzf.cpp;67.8;
430_alncat.cpp;4;10_cchao.cpp;100.0;5;345_dikra.cpp;100.0;6;31_NEU20133823.cpp;77.2;7;27_WilsonWang.cpp;72.7;
345_dikra.cpp;8;10_cchao.cpp;100.0;9;31_NEU20133823.cpp;77.2;10;27_WilsonWang.cpp;72.7;
235_vitorvgc.cpp;11;463_wang21.cpp;85.0;27;60_democoffee.cpp;63.6;
37_pkacprzak.cpp;13;33_xhuaoe.cpp;79.5;14;295_hliu94.cpp;89.2;15;285_zhengkai2001.cpp;68.1;
443_fuziqianlu.cpp;16;414_tomerry.cpp;76.4;
27_WilsonWang.cpp;17;295_hliu94.cpp;79.1;18;10_cchao.cpp;72.7;19;275_husterxsp.cpp;79.1;
31_NEU20133823.cpp;20;10_cchao.cpp;77.2;
355_junlonga.cpp;21;92_thinpiggy.cpp;69.5;22;119_rhyme.cpp;60.8;12;463_wang21.cpp;62.5;
372_knightzf.cpp;23;295_hliu94.cpp;67.8;
74_i_love_xiaoshagua_cpp.cpp;24;151_magila.cpp;66.6;
33_xhuaoe.cpp;25;285_zhengkai2001.cpp;68.1;
380_mravikiran.cpp;26;316_w12379564.cpp;59.0;
390_18811445343.cpp;28;106_y119777.cpp;59.2;29;2_SoulOfCinder.cpp;60.0;
