281_hnshhslsh.java;0;436_jialuzh.java;75.2;1;75_payall4u.java;69.1;2;464_decal.java;58.4;
75_payall4u.java;3;464_decal.java;67.3;4;101_guzh870423.java;49.4;5;50_bluesky999.java;47.5;6;265_zc94zc.java;47.1;7;351_jun46.java;45.0;
433_cocowang.java;8;39_00000.java;66.6;9;351_jun46.java;56.8;10;348_Tikaray.java;41.8;
351_jun46.java;11;371_wannacry89.java;63.7;12;39_00000.java;58.1;13;464_decal.java;56.3;
155_bluesword.java;14;49_fun4LeetCode.java;61.8;15;99_xn1990114.java;44.8;
101_guzh870423.java;16;265_zc94zc.java;55.5;17;40_yang_m.java;46.8;
282_iamjxb.java;18;82_matchalatte.java;52.5;19;407_mxx579.java;46.6;
47_yzeng61987.java;20;40_yang_m.java;48.6;
436_jialuzh.java;21;98_bill770911.java;46.2;22;464_decal.java;45.3;
368_koloxite.java;23;237_BitcoinEvangelist.java;44.7;
348_Tikaray.java;24;408_wanderlustyc.java;43.3;25;50_bluesky999.java;43.2;
371_wannacry89.java;26;248_xish.java;43.3;27;45_mintyc.java;43.2;
50_bluesky999.java;28;429_hltx39.java;42.7;
77_rogerz343.java;29;408_wanderlustyc.java;42.5;
