12_Mrsuyi.cpp;0;13_zyxwvu164.cpp;41.7;1;7_wjli.cpp;29.0;2;9_HMAXS.cpp;21.5;3;55_pkacprzak.cpp;17.6;
1___Chaos__.cpp;4;10_cuiaoxiang.cpp;35.2;14;55_pkacprzak.cpp;35.2;15;109_codermonk.cpp;38.0;16;135_tianhao2.cpp;19.7;17;11_ZYCSwing.cpp;19.7;
10_cuiaoxiang.cpp;5;55_pkacprzak.cpp;35.4;6;11_ZYCSwing.cpp;32.9;7;3_lympanda.cpp;27.1;8;135_tianhao2.cpp;17.7;
118_headspin.cpp;9;20_xfhnxcgh.cpp;32.9;10;25_szp14.cpp;30.3;11;18_y119777.cpp;23.1;12;5_wcwswswws.cpp;18.9;13;286_rohansumant.cpp;15.8;
11_ZYCSwing.cpp;18;18_y119777.cpp;33.3;19;5_wcwswswws.cpp;24.3;20;877_mzpan.cpp;19.4;21;135_tianhao2.cpp;16.8;22;22_NEU20133823.cpp;17.7;
7_wjli.cpp;23;13_zyxwvu164.cpp;29.0;24;3_lympanda.cpp;23.6;
5_wcwswswws.cpp;25;22_NEU20133823.cpp;21.6;26;18_y119777.cpp;22.9;27;877_mzpan.cpp;17.5;28;3_lympanda.cpp;17.1;29;20_xfhnxcgh.cpp;16.2;
