90_shaoxia.java;0;454_synckey.java;100.0;1;357__cookiemonster.java;91.6;2;142_hao102.java;87.5;
97_huaiyan.java;3;36_XBB_HOME.java;100.0;4;123_flyman3046.java;100.0;5;356_sifangyou.java;98.0;6;402_nobugplease.java;86.7;7;221_changeme.java;81.1;
36_XBB_HOME.java;8;123_flyman3046.java;100.0;9;356_sifangyou.java;98.0;10;402_nobugplease.java;86.7;11;221_changeme.java;81.1;
214_chuongk.java;12;142_hao102.java;100.0;13;175_raincoat911.java;98.0;
123_flyman3046.java;14;356_sifangyou.java;98.0;15;402_nobugplease.java;85.1;
347_happybelly.java;16;336_compe.java;93.3;
175_raincoat911.java;17;142_hao102.java;98.0;
365_Fighting_Y1M.java;18;149_TENGYUZHOU.java;93.3;19;377_xinyufeng16.java;82.2;
357__cookiemonster.java;20;454_synckey.java;91.6;21;377_xinyufeng16.java;86.6;
464_wilbur_zzz.java;22;314_jialuzh.java;91.5;23;402_nobugplease.java;90.7;
262_wangzi6147.java;24;475_Uynait.java;89.2;25;272_yanwugu.java;86.8;
128_LATTES.java;26;59_elvinyang.java;87.2;27;275_saodem74.java;86.9;
402_nobugplease.java;28;341_wannacry89.java;90.7;
377_xinyufeng16.java;29;149_TENGYUZHOU.java;82.2;
