364_fuxuemingzhu.cpp;0;321_chen-qi-xian.cpp;100.0;1;4_nhho.cpp;100.0;2;393_OwenBond.cpp;100.0;3;354_mylover.cpp;100.0;4;116_yaqizhang.cpp;98.3;5;39_Intel.cpp;73.3;
354_mylover.cpp;6;321_chen-qi-xian.cpp;100.0;7;4_nhho.cpp;100.0;8;393_OwenBond.cpp;100.0;9;116_yaqizhang.cpp;98.3;10;39_Intel.cpp;73.3;
96_Clary.cpp;11;343_pikaping.cpp;100.0;12;48_sortmin.cpp;100.0;
48_sortmin.cpp;13;343_pikaping.cpp;100.0;
4_nhho.cpp;14;321_chen-qi-xian.cpp;100.0;15;393_OwenBond.cpp;100.0;16;116_yaqizhang.cpp;98.3;
393_OwenBond.cpp;17;321_chen-qi-xian.cpp;100.0;18;116_yaqizhang.cpp;98.3;19;39_Intel.cpp;73.3;
44_Gogo93.cpp;20;367_void_friend.cpp;100.0;21;207_WJTung.cpp;88.2;
89_suzyzhang.cpp;22;362_lingwdd.cpp;100.0;
349_dongzy08.cpp;23;347_dongzy08.cpp;100.0;
24_krists.cpp;24;124_lz437.cpp;100.0;
321_chen-qi-xian.cpp;25;116_yaqizhang.cpp;98.3;
367_void_friend.cpp;26;207_WJTung.cpp;88.2;
46_szp14.cpp;27;39_Intel.cpp;81.9;28;32_suiyuan1992.cpp;80.0;
55_zhupeijun.cpp;29;313_hpf.cpp;80.0;
