353_19858877720.cpp;0;300_Leetcode1024.cpp;100.0;1;15_xietiansh.cpp;56.4;
442_sueki1242.cpp;2;116_seryp.cpp;82.3;3;14_TakahiroKarasawa.cpp;76.4;
280_mzchen.cpp;4;260_weiyang95.cpp;75.6;
98_liouzhou_101.cpp;5;69_cuiaoxiang.cpp;76.4;
14_TakahiroKarasawa.cpp;6;116_seryp.cpp;76.4;
55_ben100.cpp;7;412_user7593.cpp;81.8;
7_xh286286.cpp;8;234_qwnjc.cpp;73.1;
102_tylerwang.cpp;9;235_huchun87.cpp;65.5;10;172_justforedit.cpp;58.6;
70_Hashss.cpp;11;153_WJTung.cpp;66.6;
170_leetcode2019tmp.cpp;12;16_balakrishnan_v.cpp;68.1;13;192_rumman_sust.cpp;54.1;14;169_kangbb.cpp;50.9;
354_zhaoqinglin211.cpp;15;27_szp14.cpp;62.5;
413_nilgnoc.cpp;16;140_tfliao.cpp;62.2;17;85_hirokazu1020.cpp;48.2;
192_rumman_sust.cpp;18;169_kangbb.cpp;68.7;19;15_xietiansh.cpp;58.9;20;171_ryanwang.cpp;50.0;
175_guru_pradeep.cpp;21;378_jen-chieh3.cpp;64.4;22;313_capythm.cpp;60.8;
15_xietiansh.cpp;23;300_Leetcode1024.cpp;56.4;24;13_Dymonchyk.cpp;51.2;
358_KJer.cpp;25;313_capythm.cpp;52.1;
132_murkyautomata.cpp;26;104_laekov_prc.cpp;57.8;
374_groawr.cpp;27;258_fdironia.cpp;50.0;
235_huchun87.cpp;28;172_justforedit.cpp;54.8;
418_donghy13.cpp;29;16_balakrishnan_v.cpp;50.0;
