30_maxhwardg.cpp;0;115_Aging.cpp;100.0;
14_darrenhp.cpp;1;10_darrenhp.cpp;100.0;
170_huahualeetcode.cpp;2;15_hitonanode.cpp;100.0;
69_liuyubobobo.cpp;3;138_liuyubobobo.cpp;100.0;
97_Hewitt_1570.cpp;4;136_Hewitt_1570.cpp;100.0;
139_timFan.cpp;5;129_zjj1149.cpp;100.0;
9_tonyli0000.cpp;6;391_jia-zhou-hai-shi.cpp;100.0;7;416_tajar0301rajat.cpp;89.5;
408_fdironia.cpp;8;235_xhuaoe.cpp;100.0;9;141_y119777.cpp;84.2;10;184_balakrishnan_v.cpp;82.7;
49_wang-yong-liang.cpp;11;109_nyaruko.cpp;100.0;
39_tichuot97.cpp;12;222_kangbb.cpp;98.1;
191_winmad.cpp;13;144_site1997.cpp;98.0;
444_wangby511.cpp;14;257_hanzhoutang.cpp;96.0;15;65_cthbst.cpp;90.5;
145_zipei2124.cpp;16;156_deyu4n.cpp;93.5;17;75_archie155.cpp;90.9;
184_balakrishnan_v.cpp;18;233_ryenxx.cpp;93.1;19;141_y119777.cpp;90.9;
466_Zhvndos.cpp;20;346_Traves.cpp;89.8;
416_tajar0301rajat.cpp;21;391_jia-zhou-hai-shi.cpp;89.5;22;198_DanChong.cpp;82.7;
141_y119777.cpp;23;233_ryenxx.cpp;87.7;24;235_xhuaoe.cpp;84.2;
365_hitesh715.cpp;25;204_Louis1992.cpp;86.5;
45_hhhyyyfff.cpp;26;219_TH3CHARLie.cpp;85.1;
75_archie155.cpp;27;156_deyu4n.cpp;84.5;28;474_Arthur_C.cpp;83.8;
428_Tyrande.cpp;29;168_szp14.cpp;83.8;
